full_text,case_folding CPMK2,preprocessing CPMK3,label
yeay naik secret elshark gran maja 1/4m pulau baru fish mari pulang marilah pulang https //t.co/qddy9ztbdz https //t.co/oezdufuj8a,yeay naik secret elshark gran maja 1/4m pulau baru fish mari pulang marilah pulang https //t.co/qddy9ztbdz https //t.co/oezdufuj8a,yeay secret elshark gran maja pulau pulang mari pulang qddy ztbdz oezdufuj,positive
semenjak kenal fish aku melupakan gunung,semenjak kenal fish aku melupakan gunung,semenjak kenal lupa gunung,negative
baru banget aku main fish semalam langsung kebawa mimpi bjil,baru banget aku main fish semalam langsung kebawa mimpi bjil,main malam langsung bawa mimpi,negative
mending mancing fish,mending mancing fish,pancing,positive
dunia ini sudah gila kayanya ditiktok gue nyari kraken mythology sea creatures yang muncul kraken fish paling atas,dunia ini sudah gila kayanya ditiktok gue nyari kraken mythology sea creatures yang muncul kraken fish paling atas,dunia gila kaya ditiktok cari kraken mythology sea creatures muncul kraken,negative
temen2 roblox kalian lebih suka pake yang seperti bagaimana buat mancing fish lucu-lucu gemas atau yang aura gelap gitu wkwkkw https //t.co/goqfbddbk0,temen2 roblox kalian lebih suka pake yang seperti bagaimana buat mancing fish lucu-lucu gemas atau yang aura gelap gitu wkwkkw https //t.co/goqfbddbk0,teman roblox suka pakai pancing lucu lucu gemas aura gelap wkwkkw goqfbddbk,positive
gue aja langsung nanya grub yang isinya temen main bareng fish sakit kaget dan sakit hatinya https //t.co/8ubhhqabr,gue aja langsung nanya grub yang isinya temen main bareng fish sakit kaget dan sakit hatinya https //t.co/8ubhhqabr,langsung group isi teman main bareng sakit kaget sakit hati ubhhqabr,negative
pancingan fish yang baru ini roblox kalian sudah dpt belum https //t.co/8wxs4ebcuy,pancingan fish yang baru ini roblox kalian sudah dpt belum https //t.co/8wxs4ebcuy,pancing roblox wxs ebcuy,positive
roblox gusy semalem aku menginap fish tuh dapet buaya ama artefak tapi pas aku liat inventory tidak ada masa dan ngestuck 100an padahal biasanya kalau menginap dapet lebih bagaimana atasinnya atau emang ngebug aku mancing server sendiri btw makasi https //t.co/vt7fdogkmz,roblox gusy semalem aku menginap fish tuh dapet buaya ama artefak tapi pas aku liat inventory tidak ada masa dan ngestuck 100an padahal biasanya kalau menginap dapet lebih bagaimana atasinnya atau emang ngebug aku mancing server sendiri btw makasi https //t.co/vt7fdogkmz,roblox gusy malam inap buaya ama artefak lihat inventory stuck inap atasinnya bug pancing server terima kasih fdogkmz,nan
roblox fish talon maksud kamu apa ngurangi tas ikan sumpah baru sadar pas ngecek ikan https //t.co/ieenmfzt8x,roblox fish talon maksud kamu apa ngurangi tas ikan sumpah baru sadar pas ngecek ikan https //t.co/ieenmfzt8x,roblox talon maksud ngurangi tas sumpah sadar ngecek ieenmfzt,nan
jujur aga keganggu dikit karna rill nunggu notif ikan kalau sibuk gitu scrolnya jadi jauh tapi masih biasa kalau gitu kalau chatnya sudah mami papi fish gue sudah benci banget lapak macing mami papi kalau kinyis kinyiss gapapa lah ini mami papi anjing jijik,jujur aga keganggu dikit karna rill nunggu notif ikan kalau sibuk gitu scrolnya jadi jauh tapi masih biasa kalau gitu kalau chatnya sudah mami papi fish gue sudah benci banget lapak macing mami papi kalau kinyis kinyiss gapapa lah ini mami papi anjing jijik,jujur aga ganggu dikit real nunggu notif sibuk scrolnya chatnya mami papi benci lapak macing mami papi kinclong kinyiss gapapa mami papi jijik,negative
cari info cek sosial medianya fish ajaa sender kalau denger katanya katanya mah suka pada boong nggak bisa,cari info cek sosial medianya fish ajaa sender kalau denger katanya katanya mah suka pada boong nggak bisa,cari informasi cek sosial media denger suka boong,positive
yeagerisr jgn main fish saf nnti stres,yeagerisr jgn main fish saf nnti stres,yeagerisr main saf nnti stres,negative
drincking btw cara mancingnya bagaimana aku main fish bengong doang,drincking btw cara mancingnya bagaimana aku main fish bengong doang,drincking mancingnya main bengong,positive
pada afk fish,pada afk fish,away from keyboard,neutral
roblox gais sender sekarang kalau tiap pagi suka afk fish kira kira pulau apa sender harus afk buat menabung koin,roblox gais sender sekarang kalau tiap pagi suka afk fish kira kira pulau apa sender harus afk buat menabung koin,roblox gais pagi suka away from keyboard pulau away from keyboard tabung koin,positive
trade fish sudah bisa guys roblox,trade fish sudah bisa guys roblox,trade roblox,neutral
anjing niat hati menginap semaleman fish tapi malah leavs karena koneksi emang babi,anjing niat hati menginap semaleman fish tapi malah leavs karena koneksi emang babi,niat hati inap maleman leave koneksi babi,negative
roblox guyss mau tanya bug fish double prismatic sudah fix kah aku lagi pake double prismatic takut banget kena bug,roblox guyss mau tanya bug fish double prismatic sudah fix kah aku lagi pake double prismatic takut banget kena bug,roblox guyss bug double prismatic fix pakai double prismatic takut bug,nan
user fish biasanya gitu 100 koneksi karena tiap ganti server selalu add all buat nambahin luck,user fish biasanya gitu 100 koneksi karena tiap ganti server selalu add all buat nambahin luck,user koneksi ganti server add all tambah luck,positive
ngecek fish just see org server gue ada yang dapet worm fish when,ngecek fish just see org server gue ada yang dapet worm fish when,ngecek just see orang server worm when,nan
roblox fish mau tanya dong enchant perfection sebenernya bisa didapetin eso tidak kemarin ada yang jawab bisa ada yang jawab tidak,roblox fish mau tanya dong enchant perfection sebenernya bisa didapetin eso tidak kemarin ada yang jawab bisa ada yang jawab tidak,roblox enchant perfection sebenernya didapetin esoteric kemarin,nan
roblox akhirnya fish sudah bisa trade,roblox akhirnya fish sudah bisa trade,roblox trade,positive
bisa bisanya anjing gweh lagi main fish malah ketiduran,bisa bisanya anjing gweh lagi main fish malah ketiduran,bisa gweh main tidur,negative
ayo mutual roblox fish biar lucknya sama-sama nambah drop user tolong atau yang ada komunitas perkumpulan pejuang fish,ayo mutual roblox fish biar lucknya sama-sama nambah drop user tolong atau yang ada komunitas perkumpulan pejuang fish,mutual roblox lucknya nambah drop user komunitas kumpul juang,positive
roblox cuma mau info guys trade fish sudah bisa guys uhuy,roblox cuma mau info guys trade fish sudah bisa guys uhuy,roblox informasi trade senang,neutral
yaallah semoga orang2 yang somnong ikan fish akunnya banned selamanya aamiin,yaallah semoga orang2 yang somnong ikan fish akunnya banned selamanya aamiin,yaallah orang sombong akun banned aamiin,negative
semua device error karna fish ini mah,semua device error karna fish ini mah,device error,positive
bunyi suara token aja diotak gue kaya bunyi lagi dpt ikan fish,bunyi suara token aja diotak gue kaya bunyi lagi dpt ikan fish,bunyi suara token otak kaya bunyi,negative
rikippan anjing orang pada demam fish,rikippan anjing orang pada demam fish,rikippan orang demam,negative
peanutbeck bro lebih milih fish dibanding mengerjakan uts,peanutbeck bro lebih milih fish dibanding mengerjakan uts,peanutbeck milih banding uts,negative
adt_game assalamualaikum bang sht amp sukses sllu ini bng secret prtma main fish rsanya well banget awal nya tidak nyangka bakal dapat secret sebesar ini dan ktnya susah bru bbrpa tapi random berpihak dan pertama dapatin secret akhirnya sampai sekarang kcnduan mancing ternyta ssru ini https //t.co/4ooyhwi8dj,adt_game assalamualaikum bang sht amp sukses sllu ini bng secret prtma main fish rsanya well banget awal nya tidak nyangka bakal dapat secret sebesar ini dan ktnya susah bru bbrpa tapi random berpihak dan pertama dapatin secret akhirnya sampai sekarang kcnduan mancing ternyta ssru ini https //t.co/4ooyhwi8dj,adt game assalamualaikum shit sukses bng secret main senang nyangka secret susah random pihak dapatin secret candu pancing seru ooyhwi,positive
moanamenfess kai kalau mau main fish nanti aku kasih secret,moanamenfess kai kalau mau main fish nanti aku kasih secret,moanamenfess kai main secret,positive
nanya dong fish sudah bisa trade belom,nanya dong fish sudah bisa trade belom,trade,nan
xomingdown kalau fish uda dapet ikan sepulau,xomingdown kalau fish uda dapet ikan sepulau,xomingdown pulau,positive
pusing gue sudah fish update disuruh mikir ginian yang lebih tidak penting kotoran lah,pusing gue sudah fish update disuruh mikir ginian yang lebih tidak penting kotoran lah,pusing update suruh mikir kotor,negative
ntah biasanya gue item biru gitu aja keknya efek mengarungi lautan fish https //t.co/xoahnoxcpq,ntah biasanya gue item biru gitu aja keknya efek mengarungi lautan fish https //t.co/xoahnoxcpq,ntah item biru kayak efek arung laut xoahnoxcpq,nan
kangen fish,kangen fish,kangen,positive
gue sudah tidak main fish tapi gue isinya masih fish mulu shibaal,gue sudah tidak main fish tapi gue isinya masih fish mulu shibaal,main isi sial,negative
capekk banget dahlah sudah gamood main fish lagi fagh talon,capekk banget dahlah sudah gamood main fish lagi fagh talon,capekk dah gamau main fuck talon,negative
sumpah aku isinya fish krna sinta anjing,sumpah aku isinya fish krna sinta anjing,sumpah isi sinta,negative
aku sudah hapus banyak koneksi banyak lagi grgr main fish https //t.co/7vf3eyxxy8,aku sudah hapus banyak koneksi banyak lagi grgr main fish https //t.co/7vf3eyxxy8,hapus koneksi gara-gara main eyxxy,negative
ancient jungle fish ini susah banget,ancient jungle fish ini susah banget,ancient jungle susah,negative
bangun tidur aku terus fish,bangun tidur aku terus fish,bangun tidur,nan
tidak ada yang bilang kalau fish senagih ini,tidak ada yang bilang kalau fish senagih ini,bilang se-nagih,positive
lama lama meledakk anjing gara gara fish doang babi,lama lama meledakk anjing gara gara fish doang babi,ledak babi,negative
fish bikin gue lupa kalau gue punya crush anjing,fish bikin gue lupa kalau gue punya crush anjing,lupa crush,negative
contoh kalau lagi rajin mancing fish bisa afk berhari-hari tapi kalau lagi males pasti roblox kesentuh pun engga,contoh kalau lagi rajin mancing fish bisa afk berhari-hari tapi kalau lagi males pasti roblox kesentuh pun engga,contoh rajin pancing away from keyboard hari malas roblox sentuh,neutral
hangout gunung with warga lokal fish https //t.co/by0kiosdft,hangout gunung with warga lokal fish https //t.co/by0kiosdft,hangout gunung with warga lokal kiosdft,positive
roblox guys burger perahu yang fish itu emang sudah tidak ada kah,roblox guys burger perahu yang fish itu emang sudah tidak ada kah,roblox burger perahu,nan
ettoilest ini fish bukan,ettoilest ini fish bukan,ettoilest,nan
kenapa orang orang beruntung main fish,kenapa orang orang beruntung main fish,orang orang untung main,neutral
waifue knp gue gabisa main fish,waifue knp gue gabisa main fish,waife tidak bisa main,nan
soalnya gag bisa gue tinggal kalau gue tinggal lgsg pancong terus ini bawahnya fish,soalnya gag bisa gue tinggal kalau gue tinggal lgsg pancong terus ini bawahnya fish,tinggal tinggal lgsg pancong bawah,nan
korban mancing gila fish https //t.co/lfbk8hxddw,korban mancing gila fish https //t.co/lfbk8hxddw,korban pancing gila lfbk hxddw,negative
indopopbase ada game fish roblox napa kamu malah narkoboy,indopopbase ada game fish roblox napa kamu malah narkoboy,indo pop base game roblox napa narkoba,positive
fish brsm pisang letjungcook7x tidak ada yang bnr bcs riweuh bulak-balik pulau https //t.co/0gxyagbhfz,fish brsm pisang letjungcook7x tidak ada yang bnr bcs riweuh bulak-balik pulau https //t.co/0gxyagbhfz,pisang lee jungkook ribet bolak pulau gxyagbhfz,negative
info yang lagi private server fish public server ini kyknya bau banget,info yang lagi private server fish public server ini kyknya bau banget,informasi private server public server kyknya bau,nan
lerclercl makasihh kakk dia jga baru mau mulai terjun dunia fish malah dikerjain sama orang yang enggak bertanggung jawab,lerclercl makasihh kakk dia jga baru mau mulai terjun dunia fish malah dikerjain sama orang yang enggak bertanggung jawab,lerclercl terima kasih terjun dunia dikerjain orang tanggung,nan
opang202 fish afk gaa,opang202 fish afk gaa,opang away from keyboard,neutral
lagi grinding fish ditinggal scroll tiktok malah nemu live pengajian roblox bertolak belakang banget,lagi grinding fish ditinggal scroll tiktok malah nemu live pengajian roblox bertolak belakang banget,grinding tinggal scroll tiktok nemu live aji roblox tolak,nan
cung yang kerja sambil afk fish,cung yang kerja sambil afk fish,cung kerja away from keyboard,neutral
anjing pada mending diem gausa banding sama ucup org punya limitnya masing-masing dan inilah limitku fish astaghfirullah,anjing pada mending diem gausa banding sama ucup org punya limitnya masing-masing dan inilah limitku fish astaghfirullah,diam tidak usah banding ucup orang limit limit astaghfirullah,negative
roblox aku pemula fish dan lagi mancing volcano tapi aku salpok ini abangnya mancing batu kah https //t.co/ubq49wprs6,roblox aku pemula fish dan lagi mancing volcano tapi aku salpok ini abangnya mancing batu kah https //t.co/ubq49wprs6,roblox mula pancing volcano salpok abang pancing batu ubq wprs,nan
main fish malah pusing,main fish malah pusing,main pusing,negative
fish game gila mending gue belajar main,fish game gila mending gue belajar main,game gila ajar main,negative
gue kan niatnya mau pensiun menjadi nelayan fish tapi tiap buka tiktok isinya orang mancingg semuaa owhsyit deymm,gue kan niatnya mau pensiun menjadi nelayan fish tapi tiap buka tiktok isinya orang mancingg semuaa owhsyit deymm,niat pensiun nelayan buka tiktok isi orang mancingg semuaa owhsyit deymm,negative
fleursdedhiver anotherseira lojin fish aja kamu gamau,fleursdedhiver anotherseira lojin fish aja kamu gamau,fleursdedhiver anotherseira lojin,nan
sedang menyaksikan org berantem fish,sedang menyaksikan org berantem fish,saksi orang antem,nan
tidak lagi main fish,tidak lagi main fish,main,nan
warga fish pada ramah semua bahkan yang cowo tidak ada yang aneh-aneh kadang ngelawak kalau mancing bareng jdi tidak bosen,warga fish pada ramah semua bahkan yang cowo tidak ada yang aneh-aneh kadang ngelawak kalau mancing bareng jdi tidak bosen,warga ramah cowo aneh aneh kadang ngelawak pancing bareng jdi bosen,positive
baru main fish lagi jadi asing banget anjing,baru main fish lagi jadi asing banget anjing,main asing,negative
demi ungker fish gue bau banget,demi ungker fish gue bau banget,ungker bau,negative
tergiur utk main fish tapi stres takut,tergiur utk main fish tapi stres takut,giur main stres takut,neutral
info main bareng fish lah,info main bareng fish lah,informasi main bareng,positive
selamat malam roblox ada yang tertarik buat masuk server discord tidak buat nyari temen main bareng dan segala macem anw ini server bahas game lain juga tapi mostly roblox seperti fish dan lain-lain yang minat nanti sender kirim link nya https //t.co/kr8knmxbgs,selamat malam roblox ada yang tertarik buat masuk server discord tidak buat nyari temen main bareng dan segala macem anw ini server bahas game lain juga tapi mostly roblox seperti fish dan lain-lain yang minat nanti sender kirim link nya https //t.co/kr8knmxbgs,selamat malam roblox tarik masuk server discord cari teman main bareng macem anw server bahas game mostly roblox minat kirim link knmxbgs,positive
roblox mau tanya ada yang pake skin pancingan fish yang terbaru holy trident tidak itu emang kalau pake tidak ada suara ledak ledakannya aku suaranya seperti tarikan pancingan biasa gituu soalnya,roblox mau tanya ada yang pake skin pancingan fish yang terbaru holy trident tidak itu emang kalau pake tidak ada suara ledak ledakannya aku suaranya seperti tarikan pancingan biasa gituu soalnya,roblox pakai skin pancing baru holy trident pakai suara ledak ledak suara tari pancing gituu,nan
dapetin levers fish susah banget ancritt aku baru bisa dapetin setelah afk berjam-jam,dapetin levers fish susah banget ancritt aku baru bisa dapetin setelah afk berjam-jam,dapetin levers susah ancritt dapetin away from keyboard jam jam,negative
jadi keinget tadi malem nyoba iseng iseng tinggal tidur fish lupa nyalain clicker wkakak nyesek pol,jadi keinget tadi malem nyoba iseng iseng tinggal tidur fish lupa nyalain clicker wkakak nyesek pol,keinget malem coba iseng iseng tinggal tidur lupa nyala clicker wkakak nyesek pol,negative
swanstarlet kakak mendaki sama main gag kalau fish tuh mau coba tapi belum sempat terus krn main terus tapi emgnya fish susah,swanstarlet kakak mendaki sama main gag kalau fish tuh mau coba tapi belum sempat terus krn main terus tapi emgnya fish susah,swanstarlet daki main coba krn main emgnya susah,nan
sunflcwerzz fish rame karena trade system yang bikin orang bisa nyari duit sana misal diilangin selesai sih,sunflcwerzz fish rame karena trade system yang bikin orang bisa nyari duit sana misal diilangin selesai sih,sunflcwerzz ramai trade system orang cari duit diilangin selesai,positive
player fish ngomong nyari artefak geer banget kirain cryonic artifact prospecting moment,player fish ngomong nyari artefak geer banget kirain cryonic artifact prospecting moment,player ngomong cari artefak geer kirain cryonic artifact prospecting moment,nan
mau main fish juga,mau main fish juga,main,positive
ikisshyeju mati itu fish muak,ikisshyeju mati itu fish muak,ikisshyeju mati muak,negative
sepertinya sudah waktunya untuk menjadi streamer fish daripada main valo,sepertinya sudah waktunya untuk menjadi streamer fish daripada main valo,streamer main valo,positive
rsanghyeok rsanghyeok sudah mulai nggak atentif begini sama bff-nya makasih friend gue since day kebetulan emang sudah siap banget kita berdua main roblob sampai caught fish,rsanghyeok rsanghyeok sudah mulai nggak atentif begini sama bff-nya makasih friend gue since day kebetulan emang sudah siap banget kita berdua main roblob sampai caught fish,rsanghyeok rsanghyeok atentif bff makasih friend since day dua main roblob caught,nan
roblox cung yang sudah narik big threenya fish https //t.co/cekm1vflyz,roblox cung yang sudah narik big threenya fish https //t.co/cekm1vflyz,roblox cung tarik big threenya cekm vflyz,nan
cant relate lah yang mancing fish,cant relate lah yang mancing fish,cant relate pancing,nan
orgil afk hari fish,orgil afk hari fish,orgil away from keyboard,negative
rill pubg uda pernah gue sentuh semenjak kenal fish,rill pubg uda pernah gue sentuh semenjak kenal fish,real pubg sentuh semenjak kenal,negative
cihuy tidak sia2 nonstop fish tertawa sampai ngebug anjing https //t.co/hulnk54pqq,cihuy tidak sia2 nonstop fish tertawa sampai ngebug anjing https //t.co/hulnk54pqq,cihuy sia nonstop tawa bug hulnk pqq,nan
tertawa orgorg afk fish aku yahayuk,tertawa orgorg afk fish aku yahayuk,tawa orgorg away from keyboard yahayuk,nan
plish anjiyng pgn main fish,plish anjiyng pgn main fish,plish anjiyng pgn main,nan
kaisagiphile friendlist aku juga pada kena penyakit fish semua,kaisagiphile friendlist aku juga pada kena penyakit fish semua,kaisagiphile friendlist sakit,negative
sudah ditahap setiap menit search fish sudah bisa trade atau belum,sudah ditahap setiap menit search fish sudah bisa trade atau belum,tahap menit search trade,nan
puspadmn ini bukan fish ini fish,puspadmn ini bukan fish ini fish,puspadmn,nan
sudah mulai muak main fish,sudah mulai muak main fish,muak main,negative
ftogame ngeliat kamu ngeluhin fish aja sudah ketauan tidak ada relaxing-relaxingnya itu map bay,ftogame ngeliat kamu ngeluhin fish aja sudah ketauan tidak ada relaxing-relaxingnya itu map bay,ftogame ngeliat ngeluhin tau relaxing relaxingnya map bay,negative
journtales awas aja map fish,journtales awas aja map fish,journtales awas map,negative
stop jangan tergoda login fish ya️️,stop jangan tergoda login fish ya️️,stop goda login,negative
roblox dari pagi afk fish barusan login tidak berharap dapet secret tapi minimal mitos lah ternyata samsek tidak dapet bahkan legenda aja cuma biji ternyata pas afk kepencet pake lucky pancingan,roblox dari pagi afk fish barusan login tidak berharap dapet secret tapi minimal mitos lah ternyata samsek tidak dapet bahkan legenda aja cuma biji ternyata pas afk kepencet pake lucky pancingan,roblox pagi away from keyboard barusan login harap secret minimal mitos samsek legenda biji away from keyboard pencet pakai lucky pancing,nan
jam segini sudah ngantuk aku belum selesai ngekos fish,jam segini sudah ngantuk aku belum selesai ngekos fish,jam gin ngantuk selesai ngekos,nan
kalau ilang lagi mancing ikan lava fish,kalau ilang lagi mancing ikan lava fish,ilang pancing lava,nan
guys pleasee skin fish yang merchant itu,guys pleasee skin fish yang merchant itu,pleasee skin merchant,nan
sudah istirahatin fish hari sama aja ini dari smlem dapet nya mitos mulu,sudah istirahatin fish hari sama aja ini dari smlem dapet nya mitos mulu,istirahatin smlem mitos,nan
confessionn_ kalau fish bisa,confessionn_ kalau fish bisa,confessionn,nan
ada tws map gunung bye fish,ada tws map gunung bye fish,tws map gunung bye,negative
aku tidak akan meninggalkan maps fish sedikitpun temenku mba main horror yuk ayoo,aku tidak akan meninggalkan maps fish sedikitpun temenku mba main horror yuk ayoo,tinggal maps sedikit teman aku mba main horror ayoo,nan
mlnmlk untung gue nyarinya secret baru fish,mlnmlk untung gue nyarinya secret baru fish,mlnmlk untung nyarinya secret,nan
