full_text,case_folding CPMK2,preprocessing CPMK3,final_label,preprocessing,label,confidence
yeay naik secret elshark gran maja 1/4m pulau baru fish mari pulang marilah pulang https //t.co/qddy9ztbdz https //t.co/oezdufuj8a,yeay naik secret elshark gran maja 1/4m pulau baru fish mari pulang marilah pulang https //t.co/qddy9ztbdz https //t.co/oezdufuj8a,yeay secret elshark gran maja pulau pulang mari pulang qddy ztbdz oezdufuj,positive,yeay secret elshark gran maja pulau pulang mari pulang qddy ztbdz oezdufuj,,
semenjak kenal fish aku melupakan gunung,semenjak kenal fish aku melupakan gunung,semenjak kenal lupa gunung,negative,semenjak kenal lupa gunung,,
baru banget aku main fish semalam langsung kebawa mimpi bjil,baru banget aku main fish semalam langsung kebawa mimpi bjil,main malam langsung bawa mimpi,negative,main malam langsung bawa mimpi,,
mending mancing fish,mending mancing fish,pancing,positive,pancing,,
dunia ini sudah gila kayanya ditiktok gue nyari kraken mythology sea creatures yang muncul kraken fish paling atas,dunia ini sudah gila kayanya ditiktok gue nyari kraken mythology sea creatures yang muncul kraken fish paling atas,dunia gila kaya ditiktok cari kraken mythology sea creatures muncul kraken,negative,dunia gila kaya ditiktok cari kraken mythology sea creatures muncul kraken,,
temen2 roblox kalian lebih suka pake yang seperti bagaimana buat mancing fish lucu-lucu gemas atau yang aura gelap gitu wkwkkw https //t.co/goqfbddbk0,temen2 roblox kalian lebih suka pake yang seperti bagaimana buat mancing fish lucu-lucu gemas atau yang aura gelap gitu wkwkkw https //t.co/goqfbddbk0,teman roblox suka pakai pancing lucu lucu gemas aura gelap wkwkkw goqfbddbk,positive,teman roblox suka pakai pancing lucu lucu gemas aura gelap wkwkkw goqfbddbk,,
gue aja langsung nanya grub yang isinya temen main bareng fish sakit kaget dan sakit hatinya https //t.co/8ubhhqabr,gue aja langsung nanya grub yang isinya temen main bareng fish sakit kaget dan sakit hatinya https //t.co/8ubhhqabr,langsung group isi teman main bareng sakit kaget sakit hati ubhhqabr,negative,langsung group isi teman main bareng sakit kaget sakit hati ubhhqabr,,
pancingan fish yang baru ini roblox kalian sudah dpt belum https //t.co/8wxs4ebcuy,pancingan fish yang baru ini roblox kalian sudah dpt belum https //t.co/8wxs4ebcuy,pancing roblox wxs ebcuy,positive,pancing roblox wxs ebcuy,,
jujur aga keganggu dikit karna rill nunggu notif ikan kalau sibuk gitu scrolnya jadi jauh tapi masih biasa kalau gitu kalau chatnya sudah mami papi fish gue sudah benci banget lapak macing mami papi kalau kinyis kinyiss gapapa lah ini mami papi anjing jijik,jujur aga keganggu dikit karna rill nunggu notif ikan kalau sibuk gitu scrolnya jadi jauh tapi masih biasa kalau gitu kalau chatnya sudah mami papi fish gue sudah benci banget lapak macing mami papi kalau kinyis kinyiss gapapa lah ini mami papi anjing jijik,jujur aga ganggu dikit real nunggu notif sibuk scrolnya chatnya mami papi benci lapak macing mami papi kinclong kinyiss gapapa mami papi jijik,negative,jujur aga ganggu dikit real nunggu notif sibuk scrolnya chatnya mami papi benci lapak macing mami papi kinclong kinyiss gapapa mami papi jijik,,
cari info cek sosial medianya fish ajaa sender kalau denger katanya katanya mah suka pada boong nggak bisa,cari info cek sosial medianya fish ajaa sender kalau denger katanya katanya mah suka pada boong nggak bisa,cari informasi cek sosial media denger suka boong,positive,cari informasi cek sosial media denger suka boong,,
