content,score,app,content_clean
baik,4,gopay,baik
pinjaman mantep,5,gopay,pinjam mantep
bagus,5,gopay,bagus
bagus banget,5,gopay,bagus banget
okey bgt,5,gopay,bagus banget
cool....abiz...mantap,5,gopay,coolabizmantap
ok,5,gopay,
bagus tapi aku jarang punya uang di gopay,4,gopay,bagus jarang punya uang
"Aplikasi Top,,",5,gopay,
ok,5,gopay,
mantap,5,gopay,bagus
setiap saya loging masukan sandi selalu gagal..tolong dipewrbaiki..saya mau masuk tapi tddk bosa setiap sy masyk disuru menunggu 60 menit..dan ini untuk kesekian kalinya..no hp sy dan sandi sudah benar..,5,gopay,loging masuk sandi selalu gagaltolong dipewrbaikisaya masuk tddk bosa masyk disuru tunggu menitdan sekian kalinyano sandi benar
apk yang sangat membantu do era sekarang,5,gopay,sangat bantu sekarang
sangat bagus dan cepat dalam proses tf,5,gopay,sangat bagus cepat proses
"bismillah, alhamdulillah. terima kasih, semoga berkah.",5,gopay,bismillah alhamdulillah terima kasih moga berkah
go pay... memudahkan kita.. sukses trus go pay,5,gopay,mudah sukses
"aplikasi gopay pinjam ga pernah telat bayar, limit besar tapi ga bisa dipakai, dan tidak bisa flexible percuma dpt limit besar, tidak bisa dipakai",1,gopay,pinjam pernah telat bayar limit besar pakai flexible percuma limit besar pakai
bagus,5,gopay,bagus
aplikasi nya membantu banget 🙏,5,gopay,bantu banget
bagus,5,gopay,bagus
apk macam apa ini? masa saya ngisi saldo 50rb tiba tiba saldo hilang tinggal 8rb! mending pke apk sebelah aja aman. ga cocok buat di download plisss! apalagi buat nyimpan uang!,1,gopay,macam masa ngisi saldo tiba tiba saldo hilang tinggal mending belah aman cocok buat download plis buat nyimpan uang
kenapa sih gopay nih ribet banget susah sekali transaksi... Udah muncul kode otp dan masukin kode otp yang benar eh malah ditolak gopay eeq.... mampuss kauu gopay... gua beri bintang 1 habisnya kau ribet amat,1,gopay,rumit banget susah sekali transaksi muncul kode masuk kode benar malah tolak mampus beri bintang habis rumit
luar biasa,5,gopay,luar biasa
sangat puas dengan aplikasi ini,5,gopay,sangat puas
sangat bagus,5,gopay,sangat bagus
josjid,5,gopay,josjid
bintang 5,5,gopay,bintang
bgus,5,gopay,bagus
nice aplikasinya,5,gopay,nice aplikasi
Sulit untuk pengajuan gopay pinjam nya,1,gopay,sulit aju pinjam
keren,5,gopay,keren
ok ok,4,gopay,
bagus,5,gopay,bagus
kenapa no gopay GK bisa login padahal no Nya aktif ada yg Samo gk,1,gopay,login aktif samo
sangat bagus bisa untuk transaksi,5,gopay,sangat bagus transaksi
bagusss,4,gopay,bagus
"Jgn ikutin permainan Piara kucing dan Gif Arena kaga bener hadiahnya, dpt cuma 10 coin gopay trs nyedot kuota nya lumayan",3,gopay,ikutin main piara kucing arena kaga bener hadiah cuma coin nyedot kuota lumayan
lebih praktis TF ke semua bnk,5,gopay,lebih praktis semua
Sangat baik 😊,5,gopay,sangat baik
bagus,5,gopay,bagus
too bgt,5,gopay,banget
Aplikasi GoPay memang Is the best 🙌👍👍,5,gopay,memang best
gopay sangat bagus pas untuk semua transaksi,5,gopay,sangat bagus semua transaksi
transaksinya jelek,2,gopay,transaksi jelek
ok,4,gopay,
bagus banget lho,5,gopay,bagus banget
sipaling gercep,5,gopay,sipaling gercep
alhamdulilah lancar,4,gopay,alhamdulilah lancar
sangat berguna serba bisa,5,gopay,sangat guna serba
mantap,5,gopay,bagus
membantu sekali,5,gopay,bantu sekali
mempermudah transaksi nontunai ku,5,gopay,mudah transaksi nontunai
oke banget. mudah aplikasinya....,5,gopay,banget mudah aplikasi
"simpel bgt pembayaran sama cara top up, debest🤍",5,gopay,simpel banget bayar sama cara debest
bagus banget nyaman pake ini,4,gopay,bagus banget aman pakai
banyak promonya bagus,5,gopay,banyak promo bagus
pinjaman udah di stujui .. malah suruh nunggu 2 hari buat nunggu cair ke ATM . mau di batalin gak bisa,1,gopay,pinjam stujui malah suruh tunggu hari buat tunggu cair batal
mantab aplikasi yang sangat bermaanfaat,5,gopay,bagus sangat bermaanfaat
bagus,5,gopay,bagus
